"Country","Happiness.Score","HDI","Population","Unemployment","GDP..2018.international...","Area..km.2.","Electricity.consumption.GW.h.yr.","Gini.Index","Index.of.Economic.Freedom","Median.wealth.per.adult..US.dollars.","Revenues..millions.USD.","Expenditures..millions.USD.","Surplus..or.deficit...millions.USD.","Real.GDP.growth.rate","average.Temperature.F","Education.Index","Natural.Disaster.Risk....","Environmental.Vulnerabilty.Index","CO2.Emissions.per.Capita..metric.tons.","Net.Exports.per.capita.USD","Life.Expectancy.at.Birth","X2019.mortality.rate..under.5..per.1000.live.births.","Overall.mean.BMI..kg.m2.","Democracy.Index","Incarceration.rate.per.100.000.population","Homicides.per.100.000","Ethnic.Fractionalization","Linguistic.Fractionalization","Religious.Fractionalization","Social.progress.index","Healthcare.Efficiency.Index","Marriages.per.1000","Divorces.per.1000","M.D.ratio","Gender.Equality.Index","Religiosity"
"South Africa",4.814,"0.709","59622350","32.5","747020842636","1213090","210304","63","59.7","6476","76434","116118","-39684","0.2","63.95","0.705","0.0558","324","8.3","1781","65.3","34.5","27.3","7.05","259","36.4","0.7517","0.8652","0.8603","70.26","0.319","3.5","0.6","5.83","0.781","0.85"
"South Korea",5.872,"0.916","51824142","4.2","N/A","N/A","N/A","N/A","74","72198","N/A","N/A","N/A","2","52.7","0.867","0.0459","373","13.6","11104","83.3","N/A","23.9","8.01","N/A","0.6","0.0392","0.0028","0.4891","89.06","0.759","4.7","2.2","2.14","N/A","0.43"
"South Sudan",2.817,"0.433","13249924","12.3","N/A","631928.1","529","N/A","N/A","N/A","437","2259","-1822","4.1","N/A","0.297","N/A","N/A","0.4","N/A","62.8","96.2","25.2","N/A","50","13.9","N/A","N/A","N/A","31.06","N/A","N/A","N/A","N/A","N/A","N/A"
"Spain",6.401,"0.904","47351567","16.2","1894494241788","499603.5","241563","36.2","69.9","95360","481945","657750","-175805","2","55.94","0.818","0.0305","352","6","6829","83.2","3.1","26.7","8.12","122","0.62","0.4165","0.4132","0.4514","88.71","0.972","3.5","2","1.75","0.788","0.49"
"Sri Lanka",4.327,"0.782","21919000","5.4","285354274779","61864","13438","39.8","55.7","8283","12640","16660","-4020","2.3","80.51","0.752","0.0732","331","1.1","567","76.9","7.1","23","6.14","135","2.42","0.415","0.4645","0.4853","73.2","0.716","N/A","N/A","N/A","0.67","0.99"
"Swaziland",4.308,"N/A","N/A","N/A","N/A","N/A","1682","N/A","N/A","N/A","1150","1475","-325","N/A","70.52","N/A","0.0752","243","N/A","1415","N/A","N/A","26.5","N/A","N/A","N/A","0.0582","0.1722","0.4444","52.92","0.305","N/A","N/A","N/A","N/A","N/A"
"Sweden",7.353,"0.945","10380491","8.7","546885183364","407310","131798","29.2","74.7","41582","251009","282223","-31214","1.2","35.78","0.855","0.0212","311","4.5","18688","82.4","2.6","25.8","9.26","68","1.08","0.06","0.1968","0.2342","91.62","0.908","5","2.5","2","0.823","0.17"
"Switzerland",7.56,"0.955","8655100","5.2","590532454887","39516","56353","32.3","81.9","227891","234445","264232","-29787","0.9","41.9","0.891","0.0237","348","4.8","36321","83.4","4","25.3","8.83","80","0.59","0.5314","0.5441","0.6083","91.42","0.916","4.8","2","2.4","0.798","0.41"
"Taiwan",6.455,"N/A","23539588","3.8","N/A","N/A","237557","N/A","78.6","70191","94207","123779","-29572","0","N/A","N/A","N/A","324","12","13260","N/A","N/A","N/A","8.94","258","0.82","0.2744","0.5028","0.6845","N/A","N/A","5.7","2.3","2.48","N/A","0.45"
"Tajikistan",5.556,"0.668","9313800","11","30133335841","138790","16085","34","55.2","1589","2214","2316","-102","1","35.6","0.658","0.0672","271","0.7","99","69.5","33.8","25.4","1.94","121","1.61","0.5107","0.5473","0.3386","56.99","0.428","13.5","1.4","9.64","0.65","0.85"
"Tanzania",3.476,"0.529","59441988","2","144926714433","885800","5813","37.8","61.3","1282","7872","9271","-1399","1.9","72.23","0.441","0.0765","257","0.2","107","67.3","50.3","23.1","5.1","59","6.95","0.7353","0.8983","0.6334","56.2","0.422","N/A","N/A","N/A","0.707","0.89"
"Thailand",5.999,"0.777","66625005","1.9","1285350647149","510890","185852","36.5","69.7","3526","107054","133588","-26534","-7.1","79.34","0.641","0.0619","308","4.1","3556","77.7","9","24.1","6.04","488","2.58","0.6338","0.6344","0.0994","70.72","0.807","5.5","1.4","3.93","0.71","0.97"
"Togo",4.187,"0.515","7886000","2","12537214185","54390","1251","43.1","57.5","469","1469","1700","-231","0","80.87","0.489","0.1036","293","0.4","138","64.3","66.9","23.2","2.8","67","9","0.7099","0.898","0.6596","53.05","0.449","N/A","N/A","N/A","0.683","0.8"
"Trinidad and Tobago",6.192,"0.796","1366725","2.8","37377267876","5130","8246","40.3","59","14888","6916","7838","-922","0","78.35","0.717","0.075","381","26.2","12700","76.1","17.5","28.7","7.16","292","30.88","0.6475","0.1251","0.7936","N/A","0.742","6.3","2.2","2.86","0.749","0.92"
"Tunisia",4.392,"0.74","11708370","16.2","127422847480","155360","15838","32.8","56.6","5395","9397","11610","-2213","1","66.56","0.643","0.054","306","2.8","1512","77","16.9","26.8","6.59","194","3.05","0.0394","0.0124","0.0104","75.02","0.785","N/A","N/A","N/A","0.649","0.93"
"Turkey",5.132,"0.82","83614362","12.7","2316406547956","769630","251376","41.9","64","6568","188258","239421","-51163","0.9","51.98","0.668","0.052","353","5.1","2243","78.6","10","27.8","4.48","335","2.59","0.32","0.2216","0.0049","68.27","0.734","6.8","1.7","4","0.638","0.82"
"Turkmenistan",5.119,"0.715","6118000","4.1","88908253419","469930","15090","40.8","47.4","6974","4436","4703","-267","1.8","59.18","0.629","0.0644","249","14.4","4584","69.7","42","26.4","1.72","552","4.22","0.3918","0.3984","0.2327","58.35","0.443","N/A","N/A","N/A","N/A","0.8"
"Uganda",4.432,"0.544","42885900","1.9","92802563985","200520","3534","42.8","58.6","612","4019","5268","-1249","-0.3","73.04","0.467","0.0652","283","0.1","91","66.7","45.8","22","4.94","124","10.42","0.9302","0.9227","0.6332","52.98","0.464","N/A","N/A","N/A","0.717","0.93"
"Ukraine",4.561,"0.779","41554836","9.9","533831317444","579400","128806","25","56.2","1223","55612","66722","-11110","-7.2","46.94","0.803","0.0297","317","4.5","1227","73","8.4","26","5.81","148","6.2","0.4737","0.4741","0.6157","73.38","0.708","6.7","2.8","2.39","0.714","0.46"
"United Arab Emirates",6.791,"0.89","9503738","2.4","660187934758","71020","119455","N/A","76.9","35315","92063","127095","-35032","1.3","80.6","0.687","0.0197","293","22.4","34497","76.1","7.5","29","2.7","104","0.5","0.6252","0.4874","0.331","70.6","0.886","2.8","0.7","4","0.716","0.91"
"United Kingdom",7.165,"0.932","66796807","7.5","3120717081030","241930","300520","33.2","78.4","97452","966407","1400776","-434369","1.4","47.21","0.896","0.0354","373","5.6","7378","81.4","4.3","27.3","8.54","N/A","1.2","0.1211","0.0532","0.6944","88.54","0.925","N/A","N/A","N/A","0.775","0.27"
"United States",6.94,"0.926","331357269","6.2","20529049174602","9147420","3989566","41.5","74.8","65904","5923829","9818534","-3894705","-4.3","47.39","0.9","0.0376","300","16.1","4900","78.5","6.5","28.5","7.92","639","4.96","0.4901","0.5647","0.8241","85.71","0.838","6.5","2.9","2.24","0.763","0.69"
"Uruguay",6.44,"0.817","3554915","11.2","76230579377","175020","11812","39.5","69.3","11084","17690","19900","-2210","0.2","63.59","0.717","0.0403","259","2","3161","77.1","7.1","26.8","8.61","337","12.06","0.2504","0.0817","0.3548","82.99","0.745","N/A","N/A","N/A","0.702","0.41"
"Uzbekistan",6.258,"0.72","34758142","8.9","227887790292","440555","49204","35.3","58.3","N/A","20110","19920","190","0.7","53.69","0.74","0.0859","286","3.1","429","73","17.4","26.1","2.12","68","1.1","0.4125","0.412","0.2133","64.98","0.599","7.8","1.1","7.09","N/A","0.59"
"Venezuela",5.053,"0.711","28705000","9.4","N/A","N/A","64660","46.9","24.7","N/A","5521","10382","-4861","-35","77.63","0.71","0.0593","291","3.7","2681","73.9","24.2","27.2","2.76","178","36.69","0.4966","0.0686","0.135","N/A","0.775","3.3","1.2","2.75","0.699","0.79"
"Vietnam",5.353,"0.704","97580000","2.7","741909407438","310070","216994","35.3","61.7","3679","57837","78348","-20511","2.8","76.01","N/A","0.1253","357","2.8","1603","N/A","19.9","21.6","2.94","128","1.52","0.2383","0.2377","0.508","68.85","0.393","5.7","0.4","14.25","0.701","0.3"
"Yemen",3.527,"0.47","30491000","12.8","N/A","N/A","2653","36.7","N/A","1467","3467","5232","-1765","2.1","74.93","0.35","0.0597","289","0.4","258","66.6","58.4","25.8","1.95","53","6.66","0","0.008","0.0023","N/A","0.587","N/A","N/A","N/A","0.492","0.99"
"Zambia",3.759,"0.584","18400556","11.4","62546879800","743390","13097","57.1","50.4","784","4895","7050","-2155","1.5","70.52","0.577","0.0725","210","0.3","536","62.5","61.7","22.6","4.86","123","5.3","0.7808","0.8734","0.7359","55.34","0.269","N/A","N/A","N/A","0.726","0.95"
"Zimbabwe",3.299,"0.571","15790716","5","46261004505","386850","7401","43.2","39.5","1843","3600","4800","-1200","-8.3","69.8","0.544","0.1006","200","0.8","197","60.7","54.6","23.4","3.16","127","6.67","0.3874","0.4472","0.7363","52.26","0.427","N/A","N/A","N/A","0.732","0.88"
NA,NA,NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
